display  D   display_settings.c:227  _al_score_display_settings       [  -0.01802] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01800] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01798] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01796] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01793] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01789] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01787] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01784] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01782] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01779] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01777] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01774] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01772] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01770] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01768] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01765] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01763] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01761] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01759] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01757] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01755] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01752] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01750] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01748] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01746] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01744] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01741] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01739] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01737] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01735] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [  -0.01733] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [  -0.01730] Vsync requirement not met.
